,Furnishing_status,OperatingTime,SecurityDeposit,Premium,Area,BHK,Owner,ResidencyType
631,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
632,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
633,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
634,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
635,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
636,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
637,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
638,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
639,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
640,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
641,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
642,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
643,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
644,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
645,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
646,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
647,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
648,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
649,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
650,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
651,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
652,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
653,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
654,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
655,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
656,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
657,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
658,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
659,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
660,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
661,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
662,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
663,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
664,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
665,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
666,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
667,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
668,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
669,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
670,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
671,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
672,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
673,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
674,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
675,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
676,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
677,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
678,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
679,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
680,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
681,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
682,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
683,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
684,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
685,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
686,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
687,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
688,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
689,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
690,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
691,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
692,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
693,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
694,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
695,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
696,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
697,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
698,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
699,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
700,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
701,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
702,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
703,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
704,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
705,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
706,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
707,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
708,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
709,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
710,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
711,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
712,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
713,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
714,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
715,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
716,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
717,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
718,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
719,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
720,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
721,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
722,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
723,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
724,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
725,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
726,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
727,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
728,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
729,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
730,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
731,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
732,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
733,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
734,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
735,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
736,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
737,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
738,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
739,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
740,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
741,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
742,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
743,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
744,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
745,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
746,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
747,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
748,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
749,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
750,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
751,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
752,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
753,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
754,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
755,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
756,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
757,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
758,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
759,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
760,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
761,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
762,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
763,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
764,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
765,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
766,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
767,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
768,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
769,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
770,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
771,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
772,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
773,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
774,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
775,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
776,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
777,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
778,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
779,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
780,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
781,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
782,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
783,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
784,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
785,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
786,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
787,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
788,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
789,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
790,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
791,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
792,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
793,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
794,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
795,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
796,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
797,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
798,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
799,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
800,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
801,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
802,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
803,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
804,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
805,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
806,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
807,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
808,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
809,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
810,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
811,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
812,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
813,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
814,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
815,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
816,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
817,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
818,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
819,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
820,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
821,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
822,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
823,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
824,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
825,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
826,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
827,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
828,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
829,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
830,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
831,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
832,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
833,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
834,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
835,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
836,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
837,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
838,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
839,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
840,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
841,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
842,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
843,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
844,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
845,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
846,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
847,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
848,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
849,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
850,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
851,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
852,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
853,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
854,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
855,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
856,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
857,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
858,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
859,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
860,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
861,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
862,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
863,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
864,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
865,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
866,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
867,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
868,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
869,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
870,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
871,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
872,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
873,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
874,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
875,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
876,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
877,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
878,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
879,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
880,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
881,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
882,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
883,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
884,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
885,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
886,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
887,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
888,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
889,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
890,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
891,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
892,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
893,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
894,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
895,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
896,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
897,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
898,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
899,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
900,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
901,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
902,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
903,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
904,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
905,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
906,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
907,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
908,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
909,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
910,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
911,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
912,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
913,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
914,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
915,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
916,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
917,Semi-Furnished,0,10000,Premium,"DDA Flats Sector 23, Sector 23 Dwarka",1,mohit singh,Apartment
918,Unfurnished,0,9500,Premium,Aya Nagar,1,Pramod Dixit,House
919,Semi-Furnished,0,5500,Premium,Rani Bagh Pitam Pura,1,Aman vij,Other
920,Unknown,0,8999,Premium,SS plaza,Unknown,gd mishra,Other
921,Unknown,0,3500,Non-Premium,Madhu Vihar Patparganj,Unknown,Sushma,Other
922,Semi-Furnished,0,7000,Premium,"Maidan Garhi, Chhattarpur",1,ravinder dagar,Apartment
923,Semi-Furnished,0,9000,Premium,Mahavir Enclave Part 3,2,Ashish Choudhary,Apartment
924,Unfurnished,0,7000,Premium,Narela,2,Dipanshu Dahiya,Other
925,Unfurnished,0,5000,Non-Premium,Jaitpur Extension Part 2,1,Siya,Apartment
926,Semi-Furnished,0,5500,Premium,Mohan Garden Razapur Khurd,1,kedar singh mahara,Apartment
927,Furnished,0,10000,Premium,Vishnu Garden,1,Smiley,Apartment
928,Unknown,0,5000,Non-Premium,Bhajanpura,Unknown,saif,Other
929,Unfurnished,0,5000,Non-Premium,Dwarka Mor,1,Sarvesh Banwal,House
930,Semi-Furnished,2005,10000,Premium,"NEB Valley Society, Saket",1,Nagpal Associates,Other
931,Semi-Furnished,2000,10000,Premium,"Project Amar Colony, Lajpat Nagar 4",Unknown,Bhalla Properties,Apartment
932,Semi-Furnished,0,10000,Premium,Saket,1,S S Deswal,Other
933,Unfurnished,2010,9500,Premium,Laxmi Nagar,1,Good Luck Properties,Other
934,Unknown,2000,6000,Premium,Sant Nagar East of Kailash,Unknown,Amit Property,Other
935,Semi-Furnished,0,9000,Premium,"Sarita Vihar, Mathura Road",1,Subodh Rawat,Apartment
936,Unknown,0,10000,Premium,Mayur Vihar 1,Unknown,Lucky Property,Other
937,Unfurnished,2010,10000,Premium,Munirka,1,Mudgal Associates,House
938,Semi-Furnished,0,10000,Premium,Tughlakabad Extension,1,dishant,Other
939,Unfurnished,0,10000,Premium,Aya Nagar,3,Sushma Singh,House
940,Semi-Furnished,0,10000,Premium,Chilla Sarda Bangar Village,1,kuldeep,House
941,Furnished,0,6500,Premium,Molarband,2,Vinod Kumar,House
942,Furnished,0,9000,Premium,Raja Garden,1,Satish batra,House
943,Semi-Furnished,2014,9000,Premium,"Kotla Mubarakpur, South Extension",1,Pahul Associates,Other
944,Unfurnished,0,6000,Premium,"DDA LIG Flats, Shahdara",1,dhruv,Apartment
945,Furnished,0,5000,Non-Premium,Sangam Vihar,1,Gaurav Chauhan,House
946,Unknown,0,7000,Premium,Block A Sewak Park,2,bks rathore,Other
